label,tag,final_embedding
Season - [ shoes ],Winter,
Season - [ shoes ],Summer,
Season - [ shoes ],Fall,
Season - [ shoes ],Spring,
Material Type - [ shoes ],Beaded,
Material Type - [ shoes ],Canvas,
Material Type - [ shoes ],Cotton,
Material Type - [ shoes ],Crochet,
Material Type - [ shoes ],Denim,
Material Type - [ shoes ],Faux Shearling,
Material Type - [ shoes ],Faux Fur,
Material Type - [ shoes ],Felt,
Material Type - [ shoes ],Fur,
Material Type - [ shoes ],Gore-Tex,
Material Type - [ shoes ],Hemp,
Material Type - [ shoes ],Jute,
Material Type - [ shoes ],Leather,
Material Type - [ shoes ],Mesh,
Material Type - [ shoes ],Nylon,
Material Type - [ shoes ],Polyester,
Material Type - [ shoes ],Rubber,
Material Type - [ shoes ],Satin,
Material Type - [ shoes ],Shearling,
Material Type - [ shoes ],Silk,
Material Type - [ shoes ],Straw,
Material Type - [ shoes ],Synthetic,
Material Type - [ shoes ],Velvet,
Material Type - [ shoes ],Vinyl,
Material Type - [ shoes ],Wool,
Material Type - [ shoes ],Other,
Material Type - [ shoes ],Faux Leather,
Material Type - [ shoes ],Spandex,
Material Type - [ shoes ],Polyurethane,
Material Type - [ shoes ],Neoprene,
Material Type - [ shoes ],Linen,
Material Type - [ shoes ],Suede,
Material Type - [ shoes ],Thermoplastic Rubber,
Material Type - [ shoes ],Cotton Blend,
Material Type - [ shoes ],Polyvinyl Chloride,
Sport Type - [ shoes ],Martial Arts,
Sport Type - [ shoes ],Rugby,
Sport Type - [ shoes ],Badminton,
Sport Type - [ shoes ],Dodgeball,
Sport Type - [ shoes ],Table Tennis,
Sport Type - [ shoes ],Basketball,
Sport Type - [ shoes ],Fishing,
Sport Type - [ shoes ],Squash,
Sport Type - [ shoes ],Wrestling,
Sport Type - [ shoes ],Cricket,
Sport Type - [ shoes ],Paintball,
Sport Type - [ shoes ],Snorkeling,
Sport Type - [ shoes ],Kabaddi,
Sport Type - [ shoes ],Diving,
Sport Type - [ shoes ],Swimming,
Sport Type - [ shoes ],Auto Racing,
Sport Type - [ shoes ],Gymnastics,
Sport Type - [ shoes ],Tennis,
Sport Type - [ shoes ],Cycling,
Sport Type - [ shoes ],Boxing,
Sport Type - [ shoes ],Golf,
Sport Type - [ shoes ],Hunting,
Sport Type - [ shoes ],Mixed Martial Arts,
Sport Type - [ shoes ],Bowling,
Sport Type - [ shoes ],Volleyball,
Sport Type - [ shoes ],Soccer,
Sport Type - [ shoes ],Trail Running,
Sport Type - [ shoes ],Mountaineering,
Sport Type - [ shoes ],Football,
Sport Type - [ shoes ],Kayaking,
Sport Type - [ shoes ],Hiking,
Sport Type - [ shoes ],Walking,
Sport Type - [ shoes ],Weightlifting,
Sport Type - [ shoes ],Baseball,
Sport Type - [ shoes ],Equestrian,
Sport Type - [ shoes ],Dance,
Sport Type - [ shoes ],Running,
Sport Type - [ shoes ],Lacrosse,
Sport Type - [ shoes ],Softball,
Item Type Name - [ shoes ],Clog,
Item Type Name - [ shoes ],Crib Shoe,
Item Type Name - [ shoes ],Loafer Flat,
Item Type Name - [ shoes ],Medical Service Shoe,
Item Type Name - [ shoes ],Oxford Flat,
Item Type Name - [ shoes ],Skate Shoe,
Item Type Name - [ shoes ],Mary Jane Flat,
Item Type Name - [ shoes ],Platform,
Item Type Name - [ shoes ],First Walker Shoe,
Item Type Name - [ shoes ],Food Service Shoe,
Item Type Name - [ shoes ],Construction Shoe,
Item Type Name - [ shoes ],Loafer,
Item Type Name - [ shoes ],Slipper,
Item Type Name - [ shoes ],Uniform Dress Shoe,
Item Type Name - [ shoes ],Boat Shoe,
Item Type Name - [ shoes ],School Uniform Shoe,
Item Type Name - [ shoes ],Snow Shoe,
Item Type Name - [ shoes ],Monk-Strap Loafer,
Item Type Name - [ shoes ],Uwabaki Shoe,
Item Type Name - [ shoes ],Oxford,
Item Type Name - [ shoes ],Fire and Safety Shoe,
Item Type Name - [ shoes ],Driving Style Loafer,
Item Type Name - [ shoes ],Mule,
Item Type Name - [ shoes ],Moccasin,
Item Type Name - [ shoes ],Water Shoe,
Item Type Name - [ shoes ],Pump,
Item Type Name - [ shoes ],Wheeled Heel Shoe,
Item Type Name - [ shoes ],Medical Professional Shoe,
Item Type Name - [ shoes ],Hiking Shoe,
Item Type Name - [ shoes ],Industrial Shoe,
Item Type Name - [ shoes ],Penny Loafer,
Item Type Name - [ shoes ],Health Care Professional Shoe,
Item Type Name - [ shoes ],Sneaker,
Item Type Name - [ shoes ],Ballet Flat,
Item Type Name - [ shoes ],Rain Shoe,
Item Type Name - [ shoes ],Hunting Shoe,
Occasion description - [ shoes ],Easter,
Occasion description - [ shoes ],Christmas,
Occasion description - [ shoes ],New Year,
Occasion description - [ shoes ],Wedding,
Occasion description - [ shoes ],Prom Homecoming,
Occasion description - [ shoes ],Halloween,
Occasion description - [ shoes ],Funeral,
Duration Unit - [ shoes ],Months,
Subject Character - [ shoes ],Aladdin,
Subject Character - [ shoes ],Angry Birds,
Subject Character - [ shoes ],Anna,
Subject Character - [ shoes ],Avatar,
Subject Character - [ shoes ],Avengers,
Subject Character - [ shoes ],Barbie,
Subject Character - [ shoes ],Batman,
Subject Character - [ shoes ],Ben 10,
Subject Character - [ shoes ],Bugs Bunny,
Subject Character - [ shoes ],Captain America,
Subject Character - [ shoes ],Cars,
Subject Character - [ shoes ],Chota Bheem,
Subject Character - [ shoes ],Cinderella,
Subject Character - [ shoes ],Daisy Duck,
Subject Character - [ shoes ],Disney,
Subject Character - [ shoes ],Disney Princess,
Subject Character - [ shoes ],Donald Duck,
Subject Character - [ shoes ],Dora,
Subject Character - [ shoes ],Doraemon,
Subject Character - [ shoes ],Dragonball Z,
Subject Character - [ shoes ],Elsa,
Subject Character - [ shoes ],Finding Nemo,
Subject Character - [ shoes ],Flash,
Subject Character - [ shoes ],Garfield,
Subject Character - [ shoes ],Green Lantern,
Subject Character - [ shoes ],Harry Potter,
Subject Character - [ shoes ],Hello Kitty,
Subject Character - [ shoes ],Hulk,
Subject Character - [ shoes ],Iron Man,
Subject Character - [ shoes ],Justice League,
Subject Character - [ shoes ],Kung-Fu Panda,
Subject Character - [ shoes ],Lion King,
Subject Character - [ shoes ],Marvel,
Subject Character - [ shoes ],Mickey Mouse,
Subject Character - [ shoes ],Minions,
Subject Character - [ shoes ],Minnie Mouse,
Subject Character - [ shoes ],Motu Patlu,
Subject Character - [ shoes ],Mr. Bean,
Subject Character - [ shoes ],Pokemon,
Subject Character - [ shoes ],Popeye,
Subject Character - [ shoes ],Power Rangers,
Subject Character - [ shoes ],Scooby-Doo,
Subject Character - [ shoes ],Shrek,
Subject Character - [ shoes ],Simpsons,
Subject Character - [ shoes ],Smurfs,
Subject Character - [ shoes ],Spiderman,
Subject Character - [ shoes ],SpongeBob,
Subject Character - [ shoes ],Star Trek,
Subject Character - [ shoes ],Star Wars,
Subject Character - [ shoes ],Superman,
Subject Character - [ shoes ],Tarzan,
Subject Character - [ shoes ],Thomas & Friends,
Subject Character - [ shoes ],Tom & Jerry,
Subject Character - [ shoes ],Toy Story,
Subject Character - [ shoes ],Transformers,
Subject Character - [ shoes ],Tweety,
Subject Character - [ shoes ],Winnie The Pooh,
Subject Character - [ shoes ],Wolverine,
Subject Character - [ shoes ],X-Men,
Pattern - [ shoes ],Herringbone,
Pattern - [ shoes ],Animal Print,
Pattern - [ shoes ],Letter Print,
Pattern - [ shoes ],Polka Dots,
Pattern - [ shoes ],Stars,
Pattern - [ shoes ],Cartoon,
Pattern - [ shoes ],Geometric,
Pattern - [ shoes ],Moire,
Pattern - [ shoes ],Houndstooth,
Pattern - [ shoes ],Floral,
Pattern - [ shoes ],Solid,
Pattern - [ shoes ],Checkered,
Pattern - [ shoes ],Fruits,
Pattern - [ shoes ],Paisley,
Pattern - [ shoes ],Camouflage,
Pattern - [ shoes ],Hearts,
Pattern - [ shoes ],Striped,
Pattern - [ shoes ],Plaid,
Pattern - [ shoes ],Chevron,
Pattern - [ shoes ],Argyle,
Lining Description - [ shoes ],Faux Fur,
Lining Description - [ shoes ],Faux Leather,
Lining Description - [ shoes ],Fur,
Lining Description - [ shoes ],Polyester,
Lining Description - [ shoes ],Nylon,
Lining Description - [ shoes ],Leather,
Lining Description - [ shoes ],Cashmere,
Lining Description - [ shoes ],Cotton,
Lining Description - [ shoes ],Suede,
Lining Description - [ shoes ],Natural Rubber,
Lining Description - [ shoes ],Faux Suede,
Lining Description - [ shoes ],Synthetic Rubber,
Lining Description - [ shoes ],Wool,
Lining Description - [ shoes ],Unlined,
Strap Type - [ shoes ],Ankle Strap,
Strap Type - [ shoes ],T-Strap,
Strap Type - [ shoes ],Slingback,
flash_point_unit_of_measure - [ shoes ],Kelvin,
flash_point_unit_of_measure - [ shoes ],degrees_fahrenheit,
flash_point_unit_of_measure - [ shoes ],degrees_celsius,
Is exempt from supplier declared external product identifier - [ shoes ],Yes,
Is exempt from supplier declared external product identifier - [ shoes ],No,
Skip Offer - [ shoes ],Yes,
Skip Offer - [ shoes ],No,
Minimum Advertised Price Display - [ shoes ],Policy 7,
Minimum Advertised Price Display - [ shoes ],Policy 5,
Minimum Advertised Price Display - [ shoes ],Policy 3,
Minimum Advertised Price Display - [ shoes ],Policy 4,
Minimum Advertised Price Display - [ shoes ],Policy 1,
Minimum Advertised Price Display - [ shoes ],Policy 2,
Minimum Advertised Price Display - [ shoes ],Policy 9,
Minimum Advertised Price Display - [ shoes ],Policy 10,
Minimum Advertised Price Display - [ shoes ],Policy 6,
Minimum Advertised Price Display - [ shoes ],Policy 8,
Minimum Advertised Price Display - [ shoes ],Policy 11,
Item Width Unit Of Measure - [ shoes ],FT,
Item Width Unit Of Measure - [ shoes ],CM,
Item Width Unit Of Measure - [ shoes ],MM,
Item Width Unit Of Measure - [ shoes ],DM,
Item Width Unit Of Measure - [ shoes ],Picometre,
Item Width Unit Of Measure - [ shoes ],µM,
Item Width Unit Of Measure - [ shoes ],M,
Item Width Unit Of Measure - [ shoes ],Miles,
Item Width Unit Of Measure - [ shoes ],Yards,
Item Width Unit Of Measure - [ shoes ],Mils,
Item Width Unit Of Measure - [ shoes ],IN,
Item Width Unit Of Measure - [ shoes ],Nanometre,
Item Width Unit Of Measure - [ shoes ],Hundredths-Inches,
Item Width Unit Of Measure - [ shoes ],Kilometres,
Item Width Unit Of Measure - [ shoes ],Angstrom,
Item Height Unit Of Measure - [ shoes ],FT,
Item Height Unit Of Measure - [ shoes ],CM,
Item Height Unit Of Measure - [ shoes ],MM,
Item Height Unit Of Measure - [ shoes ],DM,
Item Height Unit Of Measure - [ shoes ],Picometre,
Item Height Unit Of Measure - [ shoes ],µM,
Item Height Unit Of Measure - [ shoes ],M,
Item Height Unit Of Measure - [ shoes ],Miles,
Item Height Unit Of Measure - [ shoes ],Yards,
Item Height Unit Of Measure - [ shoes ],Mils,
Item Height Unit Of Measure - [ shoes ],IN,
Item Height Unit Of Measure - [ shoes ],Nanometre,
Item Height Unit Of Measure - [ shoes ],Hundredths-Inches,
Item Height Unit Of Measure - [ shoes ],Kilometres,
Item Height Unit Of Measure - [ shoes ],Angstrom,
Item Length Unit Of Measure - [ shoes ],FT,
Item Length Unit Of Measure - [ shoes ],CM,
Item Length Unit Of Measure - [ shoes ],MM,
Item Length Unit Of Measure - [ shoes ],DM,
Item Length Unit Of Measure - [ shoes ],Picometre,
Item Length Unit Of Measure - [ shoes ],µM,
Item Length Unit Of Measure - [ shoes ],M,
Item Length Unit Of Measure - [ shoes ],Miles,
Item Length Unit Of Measure - [ shoes ],Yards,
Item Length Unit Of Measure - [ shoes ],Mils,
Item Length Unit Of Measure - [ shoes ],IN,
Item Length Unit Of Measure - [ shoes ],Nanometre,
Item Length Unit Of Measure - [ shoes ],Hundredths-Inches,
Item Length Unit Of Measure - [ shoes ],Kilometres,
Item Length Unit Of Measure - [ shoes ],Angstrom,
Batteries are Included - [ shoes ],Yes,
Batteries are Included - [ shoes ],No,
Battery composition - [ shoes ],Lithium Ion,
Battery composition - [ shoes ],Polymer,
Battery composition - [ shoes ],Silver Oxide,
Battery composition - [ shoes ],Alkaline,
Battery composition - [ shoes ],Lithium Manganese Dioxide,
Battery composition - [ shoes ],Manganese,
Battery composition - [ shoes ],Lithium Polymer,
Battery composition - [ shoes ],Sealed Lead Acid,
Battery composition - [ shoes ],NiCAD,
Battery composition - [ shoes ],Lithium Metal,
Battery composition - [ shoes ],NiMh,
Battery composition - [ shoes ],Lead Calcium,
Battery composition - [ shoes ],Aluminum Oxygen,
Battery composition - [ shoes ],Zinc,
Battery composition - [ shoes ],Lead Acid,
Battery composition - [ shoes ],Silver-Zinc,
Battery composition - [ shoes ],Lithium-Air,
Battery composition - [ shoes ],Zinc Chloride,
Battery composition - [ shoes ],Lithium-Cobalt,
Battery composition - [ shoes ],Lithium-Phosphate,
Battery composition - [ shoes ],"Lead-Acid, AGM",
Battery composition - [ shoes ],Lithium-Thionyl Chloride (Li-SOCL2),
Battery composition - [ shoes ],Nickel Oxyhydroxide,
Battery composition - [ shoes ],Zinc Carbon,
Battery composition - [ shoes ],Lithium,
Battery composition - [ shoes ],Lithium-Nickel Cobalt Aluminium (NCA),
Battery composition - [ shoes ],Nickel-Zinc,
Battery composition - [ shoes ],Lithium-Nickel Manganese Cobalt (NMC),
Battery composition - [ shoes ],Lithium-Titanate,
Battery composition - [ shoes ],Silver-Calcium,
Battery composition - [ shoes ],Mercury Oxide,
Battery composition - [ shoes ],Nickel-Iron,
Battery composition - [ shoes ],Zinc-Air,
Lithium Battery Weight Unit Of Measure - [ shoes ],LB,
Lithium Battery Weight Unit Of Measure - [ shoes ],KG,
Lithium Battery Weight Unit Of Measure - [ shoes ],GR,
Lithium Battery Weight Unit Of Measure - [ shoes ],Hundredths Pounds,
Lithium Battery Weight Unit Of Measure - [ shoes ],MG,
Lithium Battery Weight Unit Of Measure - [ shoes ],Tons,
Lithium Battery Weight Unit Of Measure - [ shoes ],OZ,
Specific Uses for Product - [ shoes ],Maternity,
Specific Uses for Product - [ shoes ],Climbing,
Specific Uses for Product - [ shoes ],Medical,
Specific Uses for Product - [ shoes ],Hiking,
Specific Uses for Product - [ shoes ],Sports,
Item Condition - [ shoes ],"new, oem",
Item Condition - [ shoes ],Collectible - Very Good,
Item Condition - [ shoes ],Collectible - Good,
Item Condition - [ shoes ],New,
Item Condition - [ shoes ],Used - Good,
Item Condition - [ shoes ],Club,
Item Condition - [ shoes ],Collectible - Acceptable,
Item Condition - [ shoes ],"new, open_box",
Item Condition - [ shoes ],Collectible - Like New,
Item Condition - [ shoes ],Used - Like New,
Item Condition - [ shoes ],Used - Very Good,
Item Condition - [ shoes ],Used - Acceptable,
Currency - [ shoes ],JPY,
Currency - [ shoes ],MXN,
Currency - [ shoes ],EUR,
Currency - [ shoes ],GBP,
Currency - [ shoes ],USD,
Currency - [ shoes ],CAD,
Currency - [ shoes ],INR,
Currency - [ shoes ],CNY,
Product Tax Code - [ shoes ],A_TOY_ELECTRONIC,
Product Tax Code - [ shoes ],A_HLTH_INCONT,
Product Tax Code - [ shoes ],A_COMP_SOFTOP,
Product Tax Code - [ shoes ],A_BOOKS_DRAWING,
Product Tax Code - [ shoes ],A_TOY_GENERAL,
Product Tax Code - [ shoes ],A_CLTH_CAPS,
Product Tax Code - [ shoes ],A_CLTH_BOOKBAG,
Product Tax Code - [ shoes ],A_BABY_BOTTLE,
Product Tax Code - [ shoes ],A_ELECTRONIC_MP3,
Product Tax Code - [ shoes ],A_HOME_MATS,
Product Tax Code - [ shoes ],A_GEN_SUPERREDUCED,
Product Tax Code - [ shoes ],A_HOME_CLOTH,
Product Tax Code - [ shoes ],A_SCHL_ERASER,
Product Tax Code - [ shoes ],A_CLTH_RAINCOAT,
Product Tax Code - [ shoes ],A_HOME_CUTLERY,
Product Tax Code - [ shoes ],A_TOY_BATTERY,
Product Tax Code - [ shoes ],A_GEN_JEWELLERY,
Product Tax Code - [ shoes ],A_GEN_REDUCED,
Product Tax Code - [ shoes ],A_CLTH_SUNGLASS,
Product Tax Code - [ shoes ],A_COMP_INK,
Product Tax Code - [ shoes ],A_Gen_Standard,
Product Tax Code - [ shoes ],A_HOME_HANDICRAFT,
Product Tax Code - [ shoes ],A_GEN_CAMERA,
Product Tax Code - [ shoes ],A_HOME_BEDDING,
Product Tax Code - [ shoes ],A_HANDBAG_MAN,
Product Tax Code - [ shoes ],A_HLTH_FEMHYG,
Product Tax Code - [ shoes ],A_CLTH_SAREES,
Product Tax Code - [ shoes ],A_CLTH_SILKFABRIC,
Product Tax Code - [ shoes ],A_BOOKS_GEN,
Product Tax Code - [ shoes ],A_SCHL_PEN,
Product Tax Code - [ shoes ],A_GEN_WATCH,
Product Tax Code - [ shoes ],A_SCHL_RULER,
Product Tax Code - [ shoes ],A_LIGHTING_LED,
Product Tax Code - [ shoes ],A_SCHL_PASTEL,
Product Tax Code - [ shoes ],A_ELECTRONIC_SPEAKER,
Product Tax Code - [ shoes ],A_CLTH_HOSIERY,
Product Tax Code - [ shoes ],A_SCHL_PENCIL,
Product Tax Code - [ shoes ],A_ITPRODUCTS_GEN,
Product Tax Code - [ shoes ],A_SCHL_CLRDPENCIL,
Product Tax Code - [ shoes ],A_MOBILE_GEN,
Product Tax Code - [ shoes ],A_ELECTRONICS_GEN,
Product Tax Code - [ shoes ],A_SCHL_CRAYON,
Product Tax Code - [ shoes ],A_SCHL_STAPLER,
Product Tax Code - [ shoes ],A_CLTH_READYMADE,
Product Tax Code - [ shoes ],A_HANDBAG_LADY,
Product Tax Code - [ shoes ],A_PRINTEDMATTER_GEN,
Product Tax Code - [ shoes ],A_Gen_Notax,
Product Tax Code - [ shoes ],A_LIGHTING_CFL,
Product Tax Code - [ shoes ],A_CLTH_TOWEL,
Product Tax Code - [ shoes ],A_BOOK_EXEMPT,
Product Tax Code - [ shoes ],A_BABY_DIAPER,
Can Be Gift Messaged - [ shoes ],Yes,
Can Be Gift Messaged - [ shoes ],No,
Is Gift Wrap Available? - [ shoes ],Yes,
Is Gift Wrap Available? - [ shoes ],No,
Shipping-Template,Migrated Template,
Quantity Price Type - [ shoes ],Fixed,
Quantity Price Type - [ shoes ],Percent,
Pricing Action - [ shoes ],delete business_price,
